mono,mono_index,date_index,tech_index,fruit_index,date,open,payoff_i,tech,timestep,forg_bout,dates.julian,RCI,s1,s2,s3,s4,s5,s6,s7,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ks1,ks2,ks3,ks4,ks5,ks6,ks7,prs1,prs2,prs3,prs4,prs5,prs6,prs7,Yobs1,Yobs2,Yobs3,Yobs4,Yobs5,Yobs6,Yobs7,cos1,cos2,cos3,cos4,cos5,cos6,cos7,Moms1,Moms2,Moms3,Moms4,Moms5,Moms6,Moms7,y1,y2,y3,y4,y5,y6,y7,yob,age,age.c
GW,7,52,7,845,12/28/14,0,0,SEAM STRIP,845,23,714,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,56,4,907,1/10/15,0,0,CHEW HOLE,907,24,727,,0,1,2,0,0,0,0,0,0,0.297962197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0.166666667,0.047619047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,56,4,920,1/10/15,0,0,CHEW HOLE,920,25,727,,1,1,2,0,0,0,0,0.172895959,0,0.297962197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1.5,0,0,0,0,0.011904762,0.125,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,63,4,1050,1/23/15,1,0.176586081,CHEW HOLE,1050,26,740,"RZ,BW",1,0,4,3,0,0,0,0.172895959,0,0.266737914,0.162846045,0,0,0,0,0,0.125,0.375,0,0,0,0,0,0.375,0.125,0,0,0,0.375,0,1.5,1.125,0,0,0,0.005952381,0,0.035947712,0.1015625,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.176586081,0,0,0,2012,3,-5.826086957
GW,7,64,7,1072,1/24/15,1,0.226303705,SEAM STRIP,1072,27,741,VA,1,0,6,3,0,0,0,0.172895959,0,0.244802643,0.162846045,0,0,0,0,0,0.1,0.3,0,0,0,0,0,0.4,0.1,0,0,0,0.3,0,1.8,0.9,0,0,0,0.004761905,0,0.051307189,0.08125,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.226303705,2012,3,-5.826086957
GW,7,65,7,1099,1/25/15,0,0,SEAM STRIP,1099,28,742,,0,1,8,3,0,0,0,0,0,0.23156332,0.162846045,0,0,0,0,0.083333333,0.166666667,0.25,0,0,0,0,0.083333333,0.416666667,0.083333333,0,0,0,0,0.25,2,0.75,0,0,0,0,0.005208333,0.053916705,0.067708333,0,0,0,0,0.083333333,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,65,7,1100,1/25/15,0,0,SEAM STRIP,1100,29,742,,0,1,8,3,0,0,0,0,0,0.23156332,0.162846045,0,0,0,0,0.083333333,0.166666667,0.25,0,0,0,0,0.083333333,0.416666667,0.083333333,0,0,0,0,0.25,2,0.75,0,0,0,0,0.005208333,0.053916705,0.067708333,0,0,0,0,0.083333333,0.083333333,0.083333333,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,67,4,1134,2/7/15,1,0.158344151,CHEW HOLE,1134,30,755,WZ,1,1,4,0,0,0,0,0,0,0.196388725,0,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0.166666667,0.333333333,0,0,0,0,0.5,0.5,2,0,0,0,0,0.083333333,0.010416667,0.059903128,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0.158344151,0,0,0,2012,3,-5.826086957
GW,7,69,4,1193,2/9/15,1,0.163626826,CHEW HOLE,1193,31,757,,1,0,5,0,0,0,0,0,0,0.23682643,0,0,0,0,0.166666667,0,0.5,0,0,0,0,0,0,0.333333333,0,0,0,0,0.5,0,2.5,0,0,0,0,0.083333333,0,0.081067149,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.163626826,0,0,0,2012,3,-5.826086957
GW,7,69,4,1195,2/9/15,1,0.150724229,CHEW HOLE,1195,32,757,"RZ,HF",1,0,5,0,0,0,0,0,0,0.23682643,0,0,0,0,0.166666667,0,0.5,0,0,0,0,0,0,0.333333333,0,0,0,0,0.5,0,2.5,0,0,0,0,0.083333333,0,0.081067149,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0.150724229,0,0,0,2012,3,-5.826086957
GW,7,70,4,1240,2/10/15,0,0,CHEW HOLE,1240,33,758,"WP,HF,WZ",0,0,6,1,0,0,0,0,0,0.245445193,0.168345315,0,0,0,0,0,0.428571429,0.142857143,0,0,0,0,0,0.428571429,0.142857143,0,0,0,0,0,2.571428571,0.428571429,0,0,0,0,0,0.077889489,0.008928571,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,70,4,1241,2/10/15,0,0,CHEW HOLE,1241,34,758,,0,0,6,1,0,0,0,0,0,0.245445193,0.168345315,0,0,0,0,0,0.428571429,0.142857143,0,0,0,0,0,0.428571429,0.142857143,0,0,0,0,0,2.571428571,0.428571429,0,0,0,0,0,0.077889489,0.008928571,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,74,2,1387,2/16/15,0,0,BITE AND POP,1387,35,764,,1,0,7,1,0,0,3,0.158849523,0,0.236651373,0.168345315,0,0,0.201946358,0.083333333,0,0.25,0.083333333,0,0,0.166666667,0,0,0.25,0.083333333,0,0,0.166666667,0.25,0,1.75,0.25,0,0,0.75,0.041666667,0,0.066268869,0.005208333,0,0,0.03125,0,0,0.083333333,0.083333333,0,0,0.166666667,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,74,4,1388,2/16/15,0,0,CHEW HOLE,1388,36,764,,1,0,7,1,0,0,3,0.158849523,0,0.236651373,0.168345315,0,0,0.201946358,0.083333333,0,0.25,0.083333333,0,0,0.166666667,0,0,0.25,0.083333333,0,0,0.166666667,0.25,0,1.75,0.25,0,0,0.75,0.041666667,0,0.066268869,0.005208333,0,0,0.03125,0,0,0.083333333,0.083333333,0,0,0.166666667,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,75,4,1423,2/17/15,0,0,CHEW HOLE,1423,37,765,EV,1,0,10,2,0,0,3,0.158849523,0,0.25586514,0.17845349,0,0,0.201946358,0.0625,0,0.1875,0.125,0,0,0.125,0,0,0.3125,0.0625,0,0,0.125,0.1875,0,1.875,0.375,0,0,0.5625,0.03125,0,0.060030783,0.012834821,0,0,0.0234375,0,0,0.0625,0.0625,0,0,0.125,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,75,4,1441,2/17/15,1,0.15274672,CHEW HOLE,1441,38,765,"EH,RK",1,0,11,2,0,0,3,0.158849523,0,0.250584236,0.17845349,0,0,0.201946358,0.058823529,0,0.176470588,0.117647059,0,0,0.117647059,0,0,0.294117647,0.058823529,0,0,0.117647059,0.176470588,0,1.941176471,0.352941176,0,0,0.529411765,0.029411765,0,0.060701241,0.012079832,0,0,0.022058824,0,0,0.058823529,0.058823529,0,0,0.117647059,0,0,0,0.15274672,0,0,0,2012,3,-5.826086957
HE,8,9,2,47,12/19/13,1,0.621334935,BITE AND POP,47,1,340,"YJ,EQ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621334935,0,0,0,0,0,1992,23,14.17391304
